district,dong_code,dong_name,floor,contract_date,rent_type,area_m2,deposit,rent,built_year,building_type,year,interest_rate,cpi,contract_year,building_age
성북구,11200,삼선동2가,1.0,2022-01-03,월세,20.0,1000,50,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,13500,종암동,1.0,2022-01-03,월세,20.0,1000,60,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,13500,종암동,1.0,2022-01-03,월세,19.8,1000,43,2004.0,단독다가구,2022,1.0,104.85,2022,18.0
성북구,11400,삼선동4가,1.0,2022-01-03,월세,20.0,3000,45,2009.0,단독다가구,2022,1.0,104.85,2022,13.0
성북구,11600,동선동1가,1.0,2022-01-03,월세,18.0,1000,48,2010.0,단독다가구,2022,1.0,104.85,2022,12.0
성북구,13900,석관동,1.0,2022-01-04,월세,19.0,500,42,2014.0,단독다가구,2022,1.0,104.85,2022,8.0
성북구,12200,안암동2가,1.0,2022-01-04,월세,49.88,10000,35,1997.0,단독다가구,2022,1.0,104.85,2022,25.0
성북구,11800,동선동3가,1.0,2022-01-04,월세,20.0,1000,45,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,12100,안암동1가,1.0,2022-01-04,월세,42.9,500,65,1994.0,단독다가구,2022,1.0,104.85,2022,28.0
성북구,13500,종암동,1.0,2022-01-04,월세,16.56,1000,60,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,11400,삼선동4가,1.0,2022-01-04,월세,18.0,500,50,2012.0,단독다가구,2022,1.0,104.85,2022,10.0
성북구,13900,석관동,1.0,2022-01-04,월세,43.83,1000,55,1993.0,단독다가구,2022,1.0,104.85,2022,29.0
성북구,13700,상월곡동,1.0,2022-01-04,월세,16.52,1000,40,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,13500,종암동,1.0,2022-01-04,월세,18.5,1000,55,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,11700,동선동2가,1.0,2022-01-04,월세,30.0,2000,70,2016.0,단독다가구,2022,1.0,104.85,2022,6.0
성북구,13300,정릉동,4.0,2022-01-04,월세,26.39,10430,13,2020.0,연립다세대,2022,1.0,104.85,2022,2.0
성북구,10100,성북동,1.0,2022-01-04,월세,28.36,1000,90,2021.0,단독다가구,2022,1.0,104.85,2022,1.0
성북구,10900,동소문동6가,10.0,2022-01-04,월세,14.18,19000,6,2012.0,아파트,2022,1.0,104.85,2022,10.0
성북구,10900,동소문동6가,10.0,2022-01-04,월세,14.18,20000,3,2012.0,아파트,2022,1.0,104.85,2022,10.0
성북구,12800,보문동6가,7.0,2022-01-04,월세,29.96,7342,19,2017.0,아파트,2022,1.0,104.85,2022,5.0
성북구,10800,동소문동5가,12.0,2022-01-04,월세,16.67,3700,75,2017.0,아파트,2022,1.0,104.85,2022,5.0
성북구,13500,종암동,14.0,2022-01-04,월세,114.98,50000,50,2004.0,아파트,2022,1.0,104.85,2022,18.0
성북구,13900,석관동,1.0,2022-01-04,월세,33.0,500,40,2012.0,단독다가구,2022,1.0,104.85,2022,10.0
성북구,11500,삼선동5가,9.0,2022-01-04,월세,27.69,1000,55,2003.0,오피스텔,2022,1.0,104.85,2022,19.0
성북구,13800,장위동,1.0,2022-01-04,월세,38.08,2000,60,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,13600,하월곡동,1.0,2022-01-04,월세,40.0,300,40,1993.0,단독다가구,2022,1.0,104.85,2022,29.0
성북구,10900,동소문동6가,9.0,2022-01-04,월세,12.7,3000,53,2013.0,아파트,2022,1.0,104.85,2022,9.0
성북구,10800,동소문동5가,19.0,2022-01-04,월세,14.02,1000,80,2018.0,아파트,2022,1.0,104.85,2022,4.0
성북구,13400,길음동,15.0,2022-01-04,월세,59.78,15000,150,2022.0,아파트,2022,1.0,104.85,2022,0.0
성북구,13400,길음동,5.0,2022-01-04,월세,59.97,10000,155,2019.0,아파트,2022,1.0,104.85,2022,3.0
성북구,13400,길음동,6.0,2022-01-04,월세,33.99,2928,24,2010.0,아파트,2022,1.0,104.85,2022,12.0
